location_id,name,city,country,latitude,longitude,rating,num_reviews,price_level,category
3343833,Bed & Breakfast Gaetzibrunnen,Neerach,Switzerland,47.51064,8.46737,5.0,11,,hotel
3404095,BirdLife-Naturzentrum Neeracherried,Neerach,Switzerland,47.50006,8.477147,4.4,17,,attraction
28085299,Vom Feldhof,Niederglatt,Switzerland,47.491783,8.479198,,0,,restaurant
652676,Roma Domus Hotel,Ponzano Romano,Italy,42.271713,12.547371,2.9,138,$$,hotel
6849005,Piscina Selva Grande,Sant'Oreste,Italy,42.199364,12.547371,4.6,29,,attraction
29015965,La Casetta Cooking Studio,Capena,Italy,42.10827,12.54725,5.0,3,,restaurant
2638566,Match,Rome,Italy,41.972504,12.547118,3.6,278,$$ - $$$,restaurant
10177811,Accademia dei Sapori,Rome,Italy,41.968536,12.547129,2.7,14,$,restaurant
20322923,Semplice Bufalotta,Rome,Italy,41.968018,12.546924,4.3,93,$$ - $$$,restaurant
11330278,Big Pizza,Rome,Italy,41.96675,12.54728,3.9,31,$,restaurant
10059131,The Break,Rome,Italy,41.96709,12.546595,4.3,125,$,restaurant
27300206,Arcadia Disco Pub,Rome,Italy,41.967396,12.546438,,0,,restaurant
2364550,New Green Hill,Rome,Italy,41.964577,12.546227,4.1,278,$$ - $$$,restaurant
10642742,Storoyodden,Fornebu,Norway,59.888264,10.595149,4.6,17,,attraction
8555086,Snaroeya Church,Baerum Municipality,Norway,59.88119,10.61111,4.5,2,,attraction
28061893,Joker Fjellstrand,Fjellstrand,Norway,59.79849,10.615586,,0,,restaurant
14113709,Annas Hybel,Fjellstrand,Norway,59.798237,10.615408,4.7,12,$$ - $$$,restaurant
28064218,Fjellstrand Fisk Og Vilt,Fjellstrand,Norway,59.79577,10.609183,,0,,restaurant
6390813,ProDykk Oslo,Fjellstrand,Norway,59.778988,10.595353,5.0,8,,attraction
28062457,Kiwi Fagerstrand,Fagerstrand,Norway,59.745785,10.608039,,0,,restaurant
12722653,Lune Hjorne,Fagerstrand,Norway,59.74489,10.60776,5.0,1,,restaurant
8665447,Fardal Bakeri Pizzeria,Fornebu,Norway,59.88806,10.6164,4.6,28,$$ - $$$,restaurant
32814083,Lokal Flyt As,Fornebu,Norway,59.892857,10.61789,,0,,attraction
13536879,Tordasi Holiday Village,Tordas,Hungary,47.34564,18.762014,4.5,2,,attraction
7660511,Anna Lak,Szazhalombatta,Hungary,47.336613,18.89685,,0,,hotel
28086753,Kenyer Kanyar,Tordas,Hungary,47.34461,18.75712,,0,,restaurant
15014316,Pizzeria Da Salvi,Val,Hungary,47.36001,18.672894,4.5,2,,restaurant
14959578,Szep Napot Vendeghaz Bed and Breakfast,Tordas,Hungary,47.343674,18.751368,5.0,2,$,hotel
17628829,Szent Peter Vendeghaz,Kajaszo,Hungary,47.32533,18.71213,,0,,hotel
27875244,Beethoven Szobor Emlekpark,Martonvasar,Hungary,47.31601,18.79045,,0,,attraction
8142555,Macska Panzio & Restaurant,Martonvasar,Hungary,47.31592,18.7907,4.2,22,$$ - $$$,restaurant
